Player,Team,2p%,3p%,ft%,min%
Thanasis Antetokounmpo,MIL,0.551,0.0,0.0,0.04
Jerome Robinson,GSW,0.561,0.118,0.636,0.02
Keon Johnson,BKN,0.364,0.4,0.917,0.016
Jett Howard,ORL,0.598,0.28,0.5,0.017
Leonard Miller,MIN,0.733,0.4,0.5,0.013
Moussa Diabaté,LAC,0.526,0.0,0.643,0.016
Daishen Nix,MIN,0.428,0.353,0.5,0.013
Admiral Schofield,ORL,0.401,0.375,0.0,0.021
Chris Livingston,MIL,0.588,0.2,0.75,0.023
David Duke Jr.,SAS,0.584,0.5,1.0,0.013
Mouhamadou Gueye,TOR,0.314,0.0,0.444,0.03
Oscar Tshiebwe,IND,0.5,0.0,0.75,0.011
Colin Castleton,LAL,0.563,0.0,1.0,0.015
Mouhamed Gueye,ATL,0.358,0.333,0.833,0.018
Amari Bailey,CHA,0.437,0.125,0.857,0.016
Isaiah Mobley,CLE,0.501,0.3,0.0,0.018
Ish Wainright,PHX,0.002,0.35,1.0,0.016
Jay Huff,DEN,1.001,0.333,1.0,0.012
RaiQuan Gray,SAS,0.699,0.429,0.0,0.01
Braxton Key,DEN,0.417,0.4,0.75,0.015
Dexter Dennis,DAL,0.818,0.125,0.333,0.008
Jamaree Bouyea,SAS,0.474,0.111,0.0,0.024
Kendall Brown,IND,0.615,0.0,0.625,0.016
Hunter Tyson,DEN,0.666,0.286,0.0,0.012
Jermaine Samuels Jr.,HOU,0.75,0.0,1.0,0.015
Kobi Simmons,TOR,0.539,0.25,0.0,0.017
Malik Williams,TOR,0.276,0.2,0.0,0.027
Robin Lopez,MIL,0.454,0.25,1.0,0.016
Tazé Moore,POR,0.583,0.143,0.5,0.01
Wendell Moore Jr.,MIN,0.75,0.0,0.0,0.019
Wenyen Gabriel,MEM,0.438,0.167,0.0,0.021
JD Davison,BOS,0.4,0.429,0.75,0.01
Alex Fudge,DAL,0.5,0.2,1.0,0.01
Greg Brown III,DAL,0.501,0.333,0.444,0.01
Jordan Walsh,BOS,0.667,0.222,0.5,0.021
D'Moi Hodge,LAL,0.665,0.25,0.5,0.01
DaQuan Jeffries,NYK,0.572,0.2,0.0,0.012
Dereon Seabron,NOP,0.273,0.5,0.833,0.014
Seth Lundy,ATL,0.248,0.231,0.75,0.013
TyTy Washington Jr.,MIL,0.286,0.333,0.0,0.014
Jacob Toppin,NYK,0.801,0.25,1.0,0.01
Jordan Miller,LAC,0.572,0.5,1.0,0.007
Timmy Allen,MEM,0.375,0.0,0.5,0.032
Jason Preston,UTA,0.375,0.0,0.0,0.018
Jordan Ford,SAC,0.499,0.667,1.0,0.006
Mamadi Diakite,NYK,0.8,0.0,0.667,0.006
D.J. Carton,TOR,0.5,0.25,0.8,0.009
Drew Peterson,BOS,1.002,0.6,0.0,0.006
Henri Drell,CHI,0.501,0.333,0.5,0.008
Keyontae Johnson,OKC,0.308,0.333,0.0,0.017
Maxwell Lewis,LAL,0.249,0.111,0.667,0.026
D.J. Wilson,PHI,0.501,1.0,0.0,0.004
R.J. Hampton,MIA,0.501,0.125,0.5,0.019
Isaiah Thomas,PHX,0.167,0.5,0.0,0.005
Jalen Slawson,SAC,1.001,0.0,0.0,0.009
James Johnson,IND,0.375,0.0,1.0,0.012
Juan Toscano-Anderson,SAC,0.25,0.25,0.0,0.013
Mason Jones,SAC,-0.002,0.286,0.5,0.007
Charlie Brown Jr.,NYK,-0.001,0.286,0.0,0.01
Jack White,MEM,0.0,0.2,0.0,0.016
Lindell Wigginton,MIL,0.667,0.0,1.0,0.002
Alondes Williams,MIA,0.5,0.0,1.0,0.004
Frank Ntilikina,CHA,-0.001,0.125,1.0,0.011
E.J. Liddell,NOP,1.002,0.0,1.0,0.006
Izaiah Brockington,NOP,0.5,0.0,0.0,0.001
Kevon Harris,ORL,0.667,0.0,0.0,0.002
Pat Spencer,GSW,1.0,0.0,0.0,0.006
Ty Jerome,CLE,0.667,0.0,0.0,0.004
Adam Flagler,OKC,-0.001,0.167,0.0,0.004
Dariq Whitehead,BKN,0.5,0.0,0.5,0.006
Filip Petrusev,SAC,0.5,0.0,0.5,0.002
Pete Nance,CLE,0.0,1.0,0.0,0.007
Usman Garuba,GSW,0.2,0.0,0.5,0.004
Hamidou Diallo,WAS,0.5,0.0,0.0,0.001
Isaiah Wong,IND,0.5,0.0,0.0,0.001
Joshua Primo,LAC,0.5,0.0,0.0,0.003
Markquis Nowell,TOR,0.0,0.0,1.0,0.001
Quenton Jackson,IND,0.0,0.0,1.0,0.003
Shaquille Harrison,MEM,0.5,0.0,0.0,0.002
Andrew Funk,CHI,0.0,0.0,0.0,0.003
Danny Green,PHI,0.0,0.0,0.0,0.005
Dmytro Skapintsev,NYK,0.0,0.0,0.0,0.0
Jalen Crutcher,NOP,0.0,0.0,0.0,0.001
Javonte Smart,PHI,,0.0,0.0,0.0
Justin Jackson,MIN,,0.0,0.0,0.0
Kaiser Gates,NOP,0.0,0.0,0.0,0.002
Malcolm Cazalon,DET,,0.0,0.0,0.001
Ron Harper Jr.,TOR,,0.0,0.0,0.001
Ryan Arcidiacono,NYK,,0.0,0.0,0.012
