Player,Team,2p%,3p%,ft%,min%
Deandre Ayton,POR,0.576,0.1,0.823,0.453
Dillon Brooks,HOU,0.492,0.359,0.844,0.566
Jalen Johnson,ATL,0.573,0.355,0.728,0.48
De'Andre Hunter,ATL,0.522,0.385,0.847,0.427
Jaime Jaquez Jr.,MIA,0.557,0.322,0.811,0.537
Malik Beasley,MIL,0.533,0.413,0.714,0.594
Aaron Nesmith,IND,0.581,0.419,0.781,0.507
Duncan Robinson,MIA,0.579,0.395,0.889,0.484
Tyler Herro,MIA,0.478,0.396,0.856,0.358
Mike Conley,MIN,0.482,0.442,0.911,0.557
Bojan Bogdanović,NYK,0.508,0.398,0.785,0.375
Moritz Wagner,ORL,0.672,0.33,0.814,0.359
Scoot Henderson,POR,0.415,0.325,0.819,0.448
Saddiq Bey,ATL,0.522,0.316,0.837,0.524
Jeremy Sochan,SAS,0.492,0.308,0.771,0.557
Jrue Holiday,BOS,0.525,0.429,0.833,0.575
Luguentz Dort,OKC,0.505,0.394,0.826,0.571
Bennedict Mathurin,IND,0.48,0.374,0.821,0.391
Max Strus,CLE,0.547,0.351,0.794,0.569
Obi Toppin,IND,0.705,0.403,0.77,0.44
Trey Murphy III,NOP,0.602,0.38,0.815,0.429
Jalen Duren,DET,0.623,0.0,0.79,0.452
Nic Claxton,BKN,0.633,0.2,0.551,0.538
Herbert Jones,NOP,0.567,0.418,0.867,0.59
Clint Capela,ATL,0.572,0.0,0.631,0.478
Reggie Jackson,DEN,0.474,0.359,0.806,0.462
Jusuf Nurkić,PHX,0.555,0.244,0.64,0.528
Khris Middleton,MIL,0.563,0.381,0.833,0.378
Daniel Gafford,DAL,0.725,0.0,0.674,0.461
Spencer Dinwiddie,LAL,0.466,0.337,0.805,0.547
Ivica Zubac,LAC,0.649,0.0,0.723,0.456
Tyus Jones,WAS,0.536,0.414,0.8,0.491
Payton Pritchard,BOS,0.593,0.385,0.821,0.464
Evan Mobley,CLE,0.605,0.373,0.719,0.389
Grant Williams,CHA,0.557,0.375,0.757,0.541
Cameron Johnson,BKN,0.519,0.391,0.789,0.406
Zach Collins,SAS,0.552,0.32,0.753,0.388
Tre Jones,SAS,0.584,0.335,0.856,0.543
Georges Niang,CLE,0.571,0.376,0.85,0.465
Kentavious Caldwell-Pope,DEN,0.52,0.406,0.894,0.61
Kelly Olynyk,TOR,0.631,0.387,0.833,0.447
Josh Hart,NYK,0.51,0.31,0.791,0.688
Jaden McDaniels,MIN,0.593,0.337,0.722,0.535
Russell Westbrook,LAC,0.509,0.273,0.688,0.388
Eric Gordon,PHX,0.56,0.378,0.797,0.481
OG Anunoby,NYK,0.581,0.382,0.753,0.432
T.J. McConnell,IND,0.568,0.409,0.79,0.328
Bruce Brown,TOR,0.539,0.323,0.824,0.474
Alex Caruso,CHI,0.564,0.408,0.76,0.518
Sam Hauser,BOS,0.556,0.424,0.895,0.442
GG Jackson,MEM,0.501,0.357,0.752,0.313
Taurean Prince,LAL,0.518,0.396,0.735,0.536
Simone Fontecchio,DET,0.552,0.401,0.818,0.418
Malaki Branham,SAS,0.495,0.347,0.873,0.405
Alec Burks,NYK,0.359,0.376,0.868,0.308
Brandin Podziemski,GSW,0.498,0.385,0.633,0.5
Andre Drummond,CHI,0.559,0.0,0.592,0.343
Terance Mann,LAC,0.633,0.348,0.832,0.476
Derrick Jones Jr.,DAL,0.614,0.343,0.713,0.453
Kevin Huerter,SAC,0.571,0.361,0.766,0.397
Nickeil Alexander-Walker,MIN,0.518,0.391,0.8,0.488
Santi Aldama,MEM,0.534,0.349,0.621,0.411
Nick Richards,CHA,0.693,0.0,0.737,0.447
Isaac Okoro,CLE,0.57,0.391,0.679,0.479
Caleb Martin,MIA,0.489,0.349,0.778,0.446
Jabari Walker,POR,0.522,0.295,0.754,0.432
Isaiah Joe,OKC,0.57,0.416,0.865,0.367
Andrew Nembhard,IND,0.567,0.357,0.804,0.431
Duop Reath,POR,0.559,0.359,0.742,0.308
Malcolm Brogdon,POR,0.459,0.412,0.819,0.285
Royce O'Neale,PHX,0.494,0.37,0.686,0.496
Wendell Carter Jr.,ORL,0.627,0.374,0.694,0.357
Jalen Smith,IND,0.688,0.424,0.692,0.266
Christian Braun,DEN,0.499,0.384,0.694,0.421
Paul Reed,PHI,0.563,0.368,0.718,0.404
Amen Thompson,HOU,0.595,0.138,0.684,0.353
Marcus Sasser,DET,0.475,0.375,0.879,0.343
Marvin Bagley III,WAS,0.598,0.391,0.762,0.268
Isaiah Hartenstein,NYK,0.647,0.333,0.707,0.482
Dorian Finney-Smith,BKN,0.561,0.348,0.717,0.492
Cam Whitmore,HOU,0.539,0.359,0.679,0.224
Cameron Payne,PHI,0.484,0.39,0.866,0.331
Lonnie Walker IV,BKN,0.471,0.384,0.763,0.257
Precious Achiuwa,NYK,0.562,0.268,0.616,0.413
Al Horford,BOS,0.658,0.419,0.867,0.442
Miles McBride,NYK,0.511,0.41,0.86,0.337
Cason Wallace,OKC,0.572,0.419,0.784,0.43
Onyeka Okongwu,ATL,0.676,0.333,0.793,0.357
Dalano Banton,POR,0.475,0.296,0.783,0.266
Ausar Thompson,DET,0.574,0.186,0.597,0.402
Jakob Poeltl,TOR,0.656,0.0,0.551,0.335
Aaron Wiggins,OKC,0.597,0.492,0.789,0.312
Trayce Jackson-Davis,GSW,0.704,0.0,0.561,0.287
Chris Paul,GSW,0.498,0.371,0.827,0.389
Moses Moody,GSW,0.555,0.36,0.785,0.294
Bilal Coulibaly,WAS,0.502,0.346,0.702,0.436
Peyton Watson,DEN,0.552,0.296,0.67,0.378
Jaden Hardy,DAL,0.447,0.362,0.776,0.251
Toumani Camara,POR,0.523,0.337,0.758,0.442
LaMelo Ball,CHA,0.501,0.355,0.865,0.181
Jordan Hawkins,NOP,0.412,0.366,0.838,0.295
Vince Williams Jr.,MEM,0.53,0.378,0.8,0.365
Walker Kessler,UTA,0.679,0.211,0.602,0.379
Talen Horton-Tucker,UTA,0.438,0.33,0.807,0.256
Dario Šarić,GSW,0.559,0.376,0.849,0.279
Aaron Holiday,HOU,0.51,0.387,0.921,0.322
Gradey Dick,TOR,0.496,0.365,0.863,0.322
Shaedon Sharpe,POR,0.458,0.333,0.824,0.269
Jeff Green,HOU,0.553,0.331,0.819,0.332
Kyle Anderson,MIN,0.489,0.229,0.708,0.453
Julian Champagnie,SAS,0.503,0.365,0.815,0.373
Isaiah Stewart,DET,0.575,0.383,0.753,0.362
Gordon Hayward,OKC,0.479,0.411,0.742,0.316
Cedi Osman,SAS,0.601,0.389,0.673,0.322
Kyle Lowry,PHI,0.511,0.392,0.84,0.429
Zach LaVine,CHI,0.536,0.349,0.854,0.221
Kevin Love,MIA,0.644,0.344,0.787,0.235
Sam Merrill,CLE,0.384,0.404,0.929,0.272
Dereck Lively II,DAL,0.752,0.0,0.506,0.329
Draymond Green,GSW,0.551,0.395,0.73,0.379
Josh Green,DAL,0.573,0.385,0.684,0.382
Naji Marshall,NOP,0.516,0.387,0.791,0.319
Amir Coffey,LAC,0.573,0.38,0.859,0.371
Ochai Agbaji,TOR,0.522,0.294,0.661,0.417
Patrick Beverley,MIL,0.49,0.337,0.822,0.372
James Wiseman,DET,0.617,0.0,0.706,0.277
Trendon Watford,BKN,0.563,0.397,0.794,0.218
Luke Kennard,MEM,0.442,0.45,0.889,0.254
Patrick Williams,CHI,0.474,0.399,0.788,0.298
Danté Exum,DAL,0.556,0.491,0.779,0.276
Pat Connaughton,MIL,0.632,0.345,0.759,0.426
David Roddy,PHX,0.477,0.293,0.691,0.299
Josh Richardson,MIA,0.561,0.347,0.944,0.28
Vasilije Micić,CHA,0.538,0.279,0.813,0.299
De'Anthony Melton,PHI,0.424,0.36,0.835,0.26
Ziaire Williams,MEM,0.487,0.307,0.827,0.264
Trey Lyles,SAC,0.576,0.384,0.7,0.294
