,Player,Team,Min,FG%,3P%,FT%,min%
60,Fred VanVleet,HOU,2684.4,41.6,38.7,86,68.20
61,Donte DiVincenzo,NYK,2360.4,44.3,40.1,75.4,59.97
62,Jamal Murray,DEN,1861.4,48.1,42.5,85.3,47.29
63,Jimmy Butler III,MIA,2042.1,49.9,41.4,85.8,51.88
64,Terry Rozier,MIA,2040.4,44.3,36.3,86.9,51.84
65,Tobias Harris,PHI,2367.8,48.7,35.3,87.8,60.16
66,James Harden,LAC,2469.7,42.8,38.1,87.8,62.75
67,Scottie Barnes,TOR,2094.2,47.5,34.1,78.1,53.21
68,Jonathan Kuminga,GSW,1949.5,52.9,32.1,74.6,49.53
69,Jaden Ivey,DET,2217.5,42.9,33.6,74.9,56.34
70,Keegan Murray,SAC,2588.6,45.4,35.8,83.1,65.77
71,RJ Barrett,TOR,1838.1,49.5,36,71.5,46.70
72,Immanuel Quickley,TOR,1985.3,43.4,39.5,85.3,50.44
73,Kristaps Porziņģis,BOS,1689.9,51.6,37.5,85.8,42.93
74,Tim Hardaway Jr.,DAL,2120.3,40.2,35.3,85.2,53.87
75,Jerami Grant,POR,1830.2,45.1,40.2,81.7,46.50
76,Bobby Portis,MIL,2008.2,50.8,40.7,79,51.02
77,Dennis Schröder,BKN,2485.9,43.5,37.5,83.6,63.16
78,Malik Monk,SAC,1872.3,44.3,35,82.9,47.57
79,Derrick White,BOS,2381,46.1,39.6,90.1,60.49
80,Deni Avdija,WAS,2256.6,50.6,37.4,74,57.33
80,Julius Randle,NYK,1630.1,47.2,31.1,78.1,41.42
82,Naz Reid,MIN,1963.8,47.7,41.4,73.6,49.89
83,Keldon Johnson,SAS,2038.4,45.4,34.6,79.2,51.79
84,Corey Kispert,WAS,2067.4,48.6,38.3,72.6,52.53
85,Rudy Gobert,MIN,2593.1,66.1,0,63.8,65.88
86,Norman Powell,LAC,1990.4,48.6,43.5,83.1,50.57
87,Kelly Oubre Jr.,PHI,2055.3,44.1,31.1,75,52.22
88,Jabari Smith Jr.,HOU,2423.8,45.4,36.3,81.1,61.58
89,Anfernee Simons,POR,1581.7,43,38.5,91.6,40.19
90,Darius Garland,CLE,1900.4,44.6,37.1,83.4,48.28
91,John Collins,UTA,1901.1,53.2,37.1,79.5,48.30
92,Grayson Allen,PHX,2513.3,49.9,46.1,87.8,63.85
93,Aaron Gordon,DEN,2296.8,55.6,29,65.8,58.35
93,Buddy Hield,PHI,2159.9,43.6,38.6,88.1,54.88
95,Jonas Valančiūnas,NOP,1924.8,55.9,30.8,78.5,48.90
96,Harrison Barnes,SAC,2380.9,47.4,38.7,80.1,60.49
97,Desmond Bane,MEM,1442.8,46.4,38.1,87,36.66
98,Brook Lopez,MIL,2411.2,48.5,36.6,82.1,61.26
99,Josh Giddey,OKC,2011.6,47.5,33.7,80.6,51.11
100,Gary Trent Jr.,TOR,1993.6,42.6,39.3,77.1,50.65
100,Keyonte George,UTA,2022.6,39.1,33.4,84.8,51.39
102,Bradley Beal,PHX,1766.7,51.3,43,81.3,44.89
103,Caris LeVert,CLE,1958.1,42.1,32.5,76.6,49.75
104,Jalen Suggs,ORL,2024.6,47.1,39.7,75.6,51.44
105,Jordan Clarkson,UTA,1682.3,41.3,29.4,88.1,42.74
106,Andrew Wiggins,GSW,1920.4,45.3,35.8,75.1,48.79
106,P.J. Washington,DAL,2220.7,43.6,32,68.3,56.42
108,Cole Anthony,ORL,1817.3,43.5,33.8,82.6,46.17
109,Ayo Dosunmu,CHI,2212.5,50.1,40.3,81,56.21
110,Rui Hachimura,LAL,1825.5,53.7,42.2,73.9,46.38
111,Deandre Ayton,POR,1783.5,57,10,82.3,45.31
112,Dillon Brooks,HOU,2226.7,42.8,35.9,84.4,56.57
113,Jalen Johnson,ATL,1888.9,51.1,35.5,72.8,47.99
114,De'Andre Hunter,ATL,1681.1,45.9,38.5,84.7,42.71
115,Jaime Jaquez Jr.,MIA,2113.2,48.9,32.2,81.1,53.69
115,Malik Beasley,MIL,2337.4,44.3,41.3,71.4,59.39
117,Aaron Nesmith,IND,1994.7,49.6,41.9,78.1,50.68
118,Duncan Robinson,MIA,1905.4,45,39.5,88.9,48.41
118,Tyler Herro,MIA,1407.1,44.1,39.6,85.6,35.75
120,Mike Conley,MIN,2193.5,45.7,44.2,91.1,55.73
121,Bojan Bogdanović,NYK,1478,45.4,39.8,78.5,37.55
121,Moritz Wagner,ORL,1414.7,60.1,33,81.4,35.94
121,Scoot Henderson,POR,1765.4,38.5,32.5,81.9,44.85
124,Saddiq Bey,ATL,2061.7,41.6,31.6,83.7,52.38
125,Jeremy Sochan,SAS,2193.1,43.8,30.8,77.1,55.72
126,Jrue Holiday,BOS,2263.3,48,42.9,83.3,57.50
126,Luguentz Dort,OKC,2246,43.8,39.4,82.6,57.06
128,Bennedict Mathurin,IND,1538.4,44.6,37.4,82.1,39.09
129,Max Strus,CLE,2239.2,41.8,35.1,79.4,56.89
130,Obi Toppin,IND,1730.6,57.3,40.3,77,43.97
131,Trey Murphy III,NOP,1690.3,44.3,38,81.5,42.94
132,Jalen Duren,DET,1777.5,61.9,0,79,45.16
132,Nic Claxton,BKN,2115.7,62.9,20,55.1,53.75
134,Herbert Jones,NOP,2321.4,49.8,41.8,86.7,58.98
135,Clint Capela,ATL,1883.1,57.1,0,63.1,47.84
136,Reggie Jackson,DEN,1816.8,43.1,35.9,80.6,46.16
137,Jusuf Nurkić,PHX,2078,51,24.4,64,52.79
138,Khris Middleton,MIL,1487.3,49.3,38.1,83.3,37.79
139,Daniel Gafford,DAL,1814.4,72.5,0,67.4,46.10
140,Spencer Dinwiddie,LAL,2152.4,39.2,33.7,80.5,54.68
141,Ivica Zubac,LAC,1794.4,64.9,0,72.3,45.59
142,Tyus Jones,WAS,1932.7,48.9,41.4,80,49.10
143,Payton Pritchard,BOS,1825.7,46.8,38.5,82.1,46.38
144,Evan Mobley,CLE,1532.3,58,37.3,71.9,38.93
145,Grant Williams,CHA,2129.6,45.6,37.5,75.7,54.11
146,Cameron Johnson,BKN,1599,44.6,39.1,78.9,40.63
146,Zach Collins,SAS,1525.7,48.4,32,75.3,38.76
148,Tre Jones,SAS,2138.2,50.5,33.5,85.6,54.32
149,Georges Niang,CLE,1831.1,44.9,37.6,85,46.52
150,Kentavious Caldwell-Pope,DEN,2401.8,46,40.6,89.4,61.02
151,Kelly Olynyk,TOR,1758.7,55.5,38.7,83.3,44.68
152,Josh Hart,NYK,2706.8,43.4,31,79.1,68.77
153,Jaden McDaniels,MIN,2105.5,48.9,33.7,72.2,53.49
154,Russell Westbrook,LAC,1528.8,45.4,27.3,68.8,38.84
155,Eric Gordon,PHX,1892.6,44.3,37.8,79.7,48.08
156,OG Anunoby,NYK,1702,48.9,38.2,75.3,43.24
157,T.J. McConnell,IND,1291,55.6,40.9,79,32.80
158,Bruce Brown,TOR,1865.4,47.8,32.3,82.4,47.39
159,Alex Caruso,CHI,2040.3,46.8,40.8,76,51.84
160,Sam Hauser,BOS,1740.6,44.6,42.4,89.5,44.22
161,GG Jackson,MEM,1233.2,42.8,35.7,75.2,31.33
162,Taurean Prince,LAL,2107.6,44.2,39.6,73.5,53.55
163,Simone Fontecchio,DET,1643.9,46,40.1,81.8,41.77
164,Malaki Branham,SAS,1594.3,43.2,34.7,87.3,40.51
165,Alec Burks,NYK,1211.5,36.9,37.6,86.8,30.78
166,Brandin Podziemski,GSW,1968.3,45.4,38.5,63.3,50.01
167,Andre Drummond,CHI,1351.3,55.6,0,59.2,34.33
168,Terance Mann,LAC,1872.9,51.5,34.8,83.2,47.58
169,Derrick Jones Jr.,DAL,1782.9,48.3,34.3,71.3,45.30
170,Kevin Huerter,SAC,1562.2,44.3,36.1,76.6,39.69
170,Nickeil Alexander-Walker,MIN,1920.9,43.9,39.1,80,48.80
172,Santi Aldama,MEM,1618.1,43.5,34.9,62.1,41.11
173,Nick Richards,CHA,1758.7,69.1,0,73.7,44.68
174,Isaac Okoro,CLE,1887.1,49,39.1,67.9,47.94
175,Caleb Martin,MIA,1756.6,43.1,34.9,77.8,44.63
176,Jabari Walker,POR,1700.6,46,29.5,75.4,43.21
177,Isaiah Joe,OKC,1444.9,45.8,41.6,86.5,36.71
178,Andrew Nembhard,IND,1696.7,49.8,35.7,80.4,43.11
