,Player,Team,Min,FG%,3P%,FT%,min%
403,Chuma Okeke,ORL,431.7,35.7,28,57.1,10.97
403,Damian Jones,CLE,269.7,59.7,21.4,85.7,6.85
405,Tosan Evbuomwan,DET,366.6,50.7,37.5,68,9.31
406,Luka Garza,MIN,121.8,48,28.1,72,3.09
406,Orlando Robinson,MIA,303.7,50,53.3,76,7.72
408,Jamal Cain,MIA,259.1,43,35.5,78.3,6.58
409,Kenneth Lofton Jr.,UTA,198.3,46.2,29.2,65.4,5.04
409,Reggie Bullock Jr.,HOU,417.5,41.5,40.3,100,10.61
411,Kessler Edwards,SAC,274.7,41.5,38.5,55.6,6.98
412,Ben Simmons,BKN,358.9,58.1,0,40,9.12
412,Jericho Sims,NYK,584.8,69.1,0,66.7,14.86
414,Julian Phillips,CHI,322.6,41.6,31.6,68.4,8.20
414,Justin Champagnie,WAS,234.8,41,28.9,80,5.97
414,Kira Lewis Jr.,UTA,264.2,37,12.1,85,6.71
414,Kobe Brown,LAC,394,41.1,29.2,50,10.01
418,Furkan Korkmaz,PHI,299.9,39.5,35,70,7.62
418,Garrett Temple,TOR,288.8,37.2,30,81.8,7.34
420,Collin Gillespie,DEN,225.4,46.4,39.5,66.7,5.73
421,Tristan Vukcevic,WAS,153.4,43.3,27.8,77.3,3.90
422,Jared Rhoden,DET,245,50,38.7,62.5,6.22
422,Trent Forrest,ATL,413.8,37.8,20,76.5,10.51
424,Gui Santos,GSW,192.1,50.9,37,94.1,4.88
425,Jaylen Nowell,DET,213.8,43.6,20.7,77.8,5.43
425,Kobe Bufkin,ATL,196,37,22.5,50,4.98
427,Ashton Hagans,POR,315.6,40.8,32,82.4,8.02
427,Onuralp Bitim,CHI,268,38.1,27.3,80,6.81
429,Cody Zeller,NOP,319.7,41.9,33.3,60.5,8.12
430,Moses Brown,POR,200,50.8,0,29,5.08
431,Jules Bernard,WAS,149.3,45.3,37.9,55.6,3.79
432,Saben Lee,PHX,185,36.4,12.5,74.4,4.70
433,Leaky Black,CHA,284.1,48.1,45,66.7,7.22
434,Brandon Clarke,MEM,134.3,55.9,16.7,14.3,3.41
435,Markieff Morris,DAL,216.4,33.8,35.7,83.3,5.50
436,Colby Jones,SAC,191.7,39.4,9.1,54.5,4.87
437,Charles Bassey,SAS,205.3,72.5,0,83.3,5.22
437,Cory Joseph,GSW,295.9,35.9,31,57.1,7.52
437,Nate Williams,HOU,129.4,54,40,53.8,3.29
440,Justin Minaya,POR,381,29.7,24.5,55.6,9.68
441,Theo Maledon,PHX,213.2,28.6,16.7,93.3,5.42
442,Harry Giles III,LAL,99.9,46,21.4,53.8,2.54
443,Brandon Williams,DAL,112.9,37,20,64.7,2.87
444,Micah Potter,UTA,186.1,47.5,42.9,75,4.73
445,Jeff Dowtin Jr.,PHI,142,55.6,47.4,75,3.61
445,P.J. Tucker,LAC,486.3,36,37.1,100,12.36
445,Terquavion Smith,PHI,84.5,39.1,37.1,60,2.15
448,James Bouknight,CHA,80.9,43.9,43.3,50,2.06
448,Josh Minott,MIN,91.4,47.2,40,85.7,2.32
450,AJ Griffin,ATL,170.7,29,25.6,100,4.34
450,Darius Bazley,UTA,151.8,60,25,83.3,3.86
450,Maozinha Pereira,MEM,121.6,51.4,38.5,70,3.09
453,Jahmi'us Ramsey,TOR,121.1,43.9,27.3,83.3,3.08
454,Terry Taylor,CHI,187.6,51.3,22.2,80,4.77
455,Boban Marjanović,HOU,70.9,52.9,0,64.3,1.80
455,Sidy Cissoko,SAS,140.9,48.5,8.3,80,3.58
457,Ryan Rollins,MIL,77.8,51.9,75,76.5,1.98
458,DeJon Jarreau,MEM,149.5,34,30.8,45.5,3.80
458,Dylan Windler,ATL,108.4,50,48.1,0,2.75
460,Armoni Brooks,BKN,104,32.6,34.4,50,2.64
460,Cole Swider,MIA,86.8,39.5,33.3,100,2.21
460,Jalen Pickett,DEN,121.8,42.9,36,75,3.09
460,Zavier Simpson,MEM,161.4,31.5,29.4,75,4.10
464,Emoni Bates,CLE,132.8,30.6,30.3,25,3.37
464,Robert Williams III,POR,118.8,65.4,0,77.8,3.02
464,T.J. Warren,MIN,124.7,43.9,15.4,75,3.17
467,Trevelin Queen,ORL,164.7,36.8,17.6,75,4.18
468,Dru Smith,MIA,130.9,45.5,41.2,100,3.33
468,Joe Harris,DET,170,35.9,33.3,50,4.32
468,Otto Porter Jr.,TOR,174.1,42.4,34.8,100,4.42
471,Marques Bolden,CHA,121.3,68,0,75,3.08
472,Adama Sanogo,CHI,65.8,51.9,0,66.7,1.67
473,Udoka Azubuike,PHX,112.8,69.6,0,23.1,2.87
474,Buddy Boeheim,DET,84,31,32,80,2.13
474,Gabe Vincent,LAL,217.6,30.6,10.7,50,5.53
474,Ibou Badji,POR,225.8,63.6,0,50,5.74
474,Jalen Hood-Schifino,LAL,109,22.2,13.3,60,2.77
474,Olivier Sarr,OKC,98.2,57.9,33.3,66.7,2.49
474,Taj Gibson,DET,204.5,40.5,20,100,5.20
480,Nate Hinton,HOU,74.6,42.3,50,80,1.90
480,Nathan Mensah,CHA,306.6,42.9,0,75,7.79
480,Xavier Moon,LAC,119.3,32.6,11.8,50,3.03
483,Matt Hurt,MEM,113.2,35.3,25,100,2.88
483,Thanasis Antetokounmpo,MIL,155.4,53.3,0,0,3.95
485,Jerome Robinson,GSW,80.7,33.3,11.8,63.6,2.05
485,Keon Johnson,BKN,61.4,38.1,40,91.7,1.56
487,Jett Howard,ORL,66.5,33.3,28,50,1.69
487,Leonard Miller,MIN,52.4,65,40,50,1.33
487,Moussa Diabaté,LAC,64.2,52.6,0,64.3,1.63
490,Daishen Nix,MIN,49.8,37.5,35.3,50,1.27
491,Admiral Schofield,ORL,84.4,38.5,37.5,0,2.14
491,Chris Livingston,MIL,90.5,50,20,75,2.30
491,David Duke Jr.,SAS,51.4,55.6,50,100,1.31
491,Mouhamadou Gueye,TOR,119.9,28.9,0,44.4,3.05
491,Oscar Tshiebwe,IND,41.9,50,0,75,1.06
496,Colin Castleton,LAL,59.1,56.3,0,100,1.50
496,Mouhamed Gueye,ATL,72.8,34.8,33.3,83.3,1.85
498,Amari Bailey,CHA,64.6,33.3,12.5,85.7,1.64
498,Isaiah Mobley,CLE,71.9,41.7,30,0,1.83
498,Ish Wainright,PHX,62.4,29.2,35,100,1.59
498,Jay Huff,DEN,49.3,60,33.3,100,1.25
498,RaiQuan Gray,SAS,39,58.8,42.9,0,0.99
503,Braxton Key,DEN,60,41.2,40,75,1.52
503,Dexter Dennis,DAL,29.9,52.6,12.5,33.3,0.76
505,Jamaree Bouyea,SAS,94.9,35.7,11.1,0,2.41
505,Kendall Brown,IND,62.5,53.3,0,62.5,1.59
507,Hunter Tyson,DEN,48,40,28.6,0,1.22
507,Jermaine Samuels Jr.,HOU,60.1,64.3,0,100,1.53
507,Kobi Simmons,TOR,67.4,42.9,25,0,1.71
510,Malik Williams,TOR,106.5,26.5,20,0,2.71
511,Robin Lopez,MIL,64.7,36.8,25,100,1.64
511,Tazé Moore,POR,40.3,42.1,14.3,50,1.02
511,Wendell Moore Jr.,MIN,75.1,50,0,0,1.91
514,Wenyen Gabriel,MEM,81,36.4,16.7,0,2.06
515,JD Davison,BOS,39,41.7,42.9,75,0.99
516,Alex Fudge,DAL,40.2,40,20,100,1.02
516,Greg Brown III,DAL,39.7,45.5,33.3,44.4,1.01
516,Jordan Walsh,BOS,83.5,40,22.2,50,2.12
519,D'Moi Hodge,LAL,41.2,33.3,25,50,1.05
519,DaQuan Jeffries,NYK,46,35.3,20,0,1.17
519,Dereon Seabron,NOP,55.1,30.8,50,83.3,1.40
519,Seth Lundy,ATL,52,23.5,23.1,75,1.32
519,TyTy Washington Jr.,MIL,55.9,30,33.3,0,1.42
524,Jacob Toppin,NYK,38.2,55.6,25,100,0.97
524,Jordan Miller,LAC,28.2,55.6,50,100,0.72
524,Timmy Allen,MEM,125.5,26.1,0,50,3.19
527,Jason Preston,UTA,71.1,31.6,0,0,1.81
527,Jordan Ford,SAC,21.8,57.1,66.7,100,0.55
527,Mamadi Diakite,NYK,24.4,66.7,0,66.7,0.62
530,D.J. Carton,TOR,35.5,37.5,25,80,0.90
530,Drew Peterson,BOS,22.7,66.7,60,0,0.58
530,Henri Drell,CHI,29.9,40,33.3,50,0.76
530,Keyontae Johnson,OKC,66.2,31.3,33.3,0,1.68
530,Maxwell Lewis,LAL,102.8,19,11.1,66.7,2.61
535,D.J. Wilson,PHI,15.5,66.7,100,0,0.39
535,R.J. Hampton,MIA,76,28.6,12.5,50,1.93
537,Isaiah Thomas,PHX,19.4,30,50,0,0.49
537,Jalen Slawson,SAC,37,66.7,0,0,0.94
537,James Johnson,IND,47.2,30,0,100,1.20
540,Juan Toscano-Anderson,SAC,52.7,25,25,0,1.34
540,Mason Jones,SAC,27.7,25,28.6,50,0.70
542,Charlie Brown Jr.,NYK,37.3,20,28.6,0,0.95
542,Jack White,MEM,63.6,12.5,20,0,1.62
542,Lindell Wigginton,MIL,7.6,40,0,100,0.19
545,Alondes Williams,MIA,15.6,25,0,100,0.40
545,Frank Ntilikina,CHA,42.9,11.1,12.5,100,1.09
547,E.J. Liddell,NOP,23.1,16.7,0,100,0.59
547,Izaiah Brockington,NOP,3.4,40,0,0,0.09
547,Kevon Harris,ORL,6,66.7,0,0,0.15
547,Pat Spencer,GSW,25.6,50,0,0,0.65
547,Ty Jerome,CLE,14.8,50,0,0,0.38
552,Adam Flagler,OKC,14,14.3,16.7,0,0.36
552,Dariq Whitehead,BKN,24,20,0,50,0.61
552,Filip Petrusev,SAC,9.3,50,0,50,0.24
552,Pete Nance,CLE,27.4,16.7,100,0,0.70
552,Usman Garuba,GSW,17.8,16.7,0,50,0.45
557,Hamidou Diallo,WAS,4.8,50,0,0,0.12
557,Isaiah Wong,IND,4.3,33.3,0,0,0.11
557,Joshua Primo,LAC,10.3,33.3,0,0,0.26
557,Markquis Nowell,TOR,3.5,0,0,100,0.09
557,Quenton Jackson,IND,10.5,0,0,100,0.27
557,Shaquille Harrison,MEM,6,50,0,0,0.15
563,Andrew Funk,CHI,13.4,0,0,0,0.34
563,Danny Green,PHI,18.4,0,0,0,0.47
563,Dmytro Skapintsev,NYK,2.1,0,0,0,0.05
563,Jalen Crutcher,NOP,2.6,0,0,0,0.07
563,Javonte Smart,PHI,0.7,0,0,0,0.02
563,Justin Jackson,MIN,0.7,0,0,0,0.02
563,Kaiser Gates,NOP,7.4,0,0,0,0.19
563,Malcolm Cazalon,DET,2.6,0,0,0,0.07
563,Ron Harper Jr.,TOR,3.6,0,0,0,0.09
563,Ryan Arcidiacono,NYK,45.2,0,0,0,1.15
